,Result,Result,Result,Result,Time,Time,Time,Time
Sample,10,100,1000,10000,10,100,1000,10000
Algorithm,,,,,,,,
BASE,72,684,6339,63160,0.027585744857788,0.105791091918945,0.75034236907959,7.08827066421509
DIFFERIENTIAL EVOLUTION,80,769,6648,63884,0.323584318161011,0.89621114730835,6.80376625061035,70.1513669490814
DYNAMIC PROGRAMMING,80,858,8322,82269,0.0001912117004394,0.0222878456115722,3.63066267967224,416.83246254921
EVOLUTION STRATEGY,80,712,6553,63196,0.074753999710083,0.213060140609741,1.50291681289673,15.7002296447754
GENETIC ALGORITHM,77,808,6986,64742,0.349939346313477,1.12515711784363,9.52093887329102,102.215463161469
MEMETIC ALGORITHM,80,853,6454,63046,0.857430696487427,17.9584944248199,350.00037956237793,500.00409865379333
MEMETIC ALGORITHM HYBRID LOCAL SEARCH,80,765,6477,63005,17.3135662078857,37.3694953918457,350.0003056526184,500.00406980514526
