Algorithm,Sample,Result,Time
DYNAMIC PROGRAMMING,10,80,0.00019121170043945312
BASE,10,72,0.027585744857788086
GENETIC ALGORITHM,10,77,0.34993934631347656
MEMETIC ALGORITHM,10,80,0.8574306964874268
MEMETIC ALGORITHM HYBRID LOCAL SEARCH,10,80,17.313566207885742
EVOLUTION STRATEGY,10,80,0.07475399971008301
DIFFERIENTIAL EVOLUTION,10,80,0.32358431816101074
DYNAMIC PROGRAMMING,100,858,0.022287845611572266
BASE,100,684,0.10579109191894531
GENETIC ALGORITHM,100,808,1.125157117843628
MEMETIC ALGORITHM,100,853,17.958494424819946
MEMETIC ALGORITHM HYBRID LOCAL SEARCH,100,765,37.3694953918457
EVOLUTION STRATEGY,100,712,0.2130601406097412
DIFFERIENTIAL EVOLUTION,100,769,0.8962111473083496
DYNAMIC PROGRAMMING,1000,8322,3.630662679672241
BASE,1000,6339,0.7503423690795898
GENETIC ALGORITHM,1000,6986,9.520938873291016
MEMETIC ALGORITHM,1000,6454,350.00037956237793
MEMETIC ALGORITHM HYBRID LOCAL SEARCH,1000,6477,350.0003056526184
EVOLUTION STRATEGY,1000,6553,1.5029168128967285
DIFFERIENTIAL EVOLUTION,1000,6648,6.803766250610352
DYNAMIC PROGRAMMING,10000,82269,416.8324625492096
BASE,10000,63160,7.088270664215088
GENETIC ALGORITHM,10000,64742,102.2154631614685
MEMETIC ALGORITHM,10000,63046,500.00409865379333
MEMETIC ALGORITHM HYBRID LOCAL SEARCH,10000,63005,500.00406980514526
EVOLUTION STRATEGY,10000,63196,15.70022964477539
DIFFERIENTIAL EVOLUTION,10000,63884,70.15136694908142
